"","gene","probe","T1","T2","T3","C1","C2","C3"
"727",67,1,24.7,47.85,10.83,22.44,37.44,28.98
"728",67,2,153.18,167.05,78.83,183.38,140.72,91.91
"729",67,3,22.55,43.55,11.72,20.9,24.32,9.19
"730",67,4,199.48,132.05,134.02,130.08,137.42,116.91
"731",67,5,238.18,243.55,172.02,215.08,244.42,187.91
"732",67,6,642.18,748.55,517.02,741.08,585.42,495.71
"733",67,7,149.48,224.05,115.82,133.08,150.22,135.71
"734",67,8,290.98,270.35,288.32,235.08,305.42,264.91
"735",67,9,11.86,47.35,12.21,10.92,14.03,11.56
"736",67,10,4.1,8.98,6.48,3.49,4.85,3.47
"737",67,11,43.48,75.85,20,62.08,51.22,32.43
"738",68,1,6.54,7.52,6.66,6.59,8.95,7.01
"739",68,2,161.68,235.85,108.02,167.38,102.72,121.71
"740",68,3,15.82,15.33,7.93,12.03,20.34,9.32
"741",68,4,1495.18,1610.85,1031.02,1387.08,1550.42,999.91
"742",68,5,1310.48,1086.35,1043.32,1093.58,1602.92,973.21
"743",68,6,16.05,37.08,15.16,25.26,24.78,10.75
"744",68,7,34.2,23.75,20.1,22.44,33.46,9.32
"745",68,8,53.18,58.05,13.96,62.38,48.72,28
"746",68,9,10.26,10.17,13.09,19.76,6.63,19.62
"747",68,10,11.86,20.62,7.62,8.41,11.47,8.3
"748",68,11,35.19,26.46,12.87,16.31,28.57,13.51
"749",69,1,31.22,26.46,10.93,20.9,21.19,19.88
"750",69,2,26.32,38.87,11.21,23.37,20.59,9.41
"751",69,3,24.42,20.22,15.79,26.22,19.92,26.54
"752",69,4,33.2,38.07,12.54,37.09,20.59,23.96
"753",69,5,25.36,11.02,12.21,15.71,22.33,7.65
"754",69,6,9.79,9.89,8.27,12.82,6.68,7.65
"755",69,7,19.87,50.05,10.89,19.16,19.92,8.97
"756",69,8,6.23,16.86,7.75,3.88,22.06,6.44
"757",69,9,16.97,16.86,11.49,17.25,10.73,10.5
"758",69,10,5.04,3.98,6.3,4.74,5.21,3.65
"759",69,11,6.28,5.16,9.21,6.07,4.23,5.28
"760",70,1,5.57,12.61,8.81,5.06,6.93,6.18
"761",70,2,231.48,395.55,186.32,241.08,230.42,155.91
"762",70,3,6.54,19.43,10.28,7.12,5.83,7.26
"763",70,4,7.12,4.68,10.42,6.73,10.87,6.66
"764",70,5,9.04,9.78,13,13.46,10.49,8.37
"765",70,6,9.93,6.56,12.68,9.23,10.49,7.75
"766",70,7,6.28,7.26,7.87,4.65,7.96,6.52
"767",70,8,9.79,8.65,6.66,9.02,5.63,4.57
"768",70,9,4.24,6.78,6.48,5.49,6.2,4
"769",70,10,3.94,5.82,7.28,5.29,5.09,5.28
"770",70,11,82.18,53.05,30.47,63.08,51.42,40.21
"771",71,1,4.49,7.52,7.75,7.68,5.77,7.01
"772",71,2,76.18,25.54,13.09,53.58,48.42,40.21
"773",71,3,28.75,15.52,8,6.45,8.13,4.91
"774",71,4,4.49,7.39,9.72,4.49,4.73,4.27
"775",71,5,12.44,10.8,9.05,15.93,10.63,13.51
"776",71,6,27.29,57.35,14.5,35.09,21.62,15.6
"777",71,7,181.18,150.55,116.02,182.88,237.42,155.21
"778",71,8,10.77,24.02,9.05,8.41,23.86,8.37
"779",71,9,5.64,9.89,7.75,6.88,5.63,10.6
"780",71,10,6.28,8.33,7.54,4.65,7.21,5.28
"781",71,11,4.34,10.37,8.45,6.32,8.83,5.94
"782",72,1,246.68,239.05,135.82,202.58,184.42,167.41
"783",72,2,34.49,37.87,12.68,39.59,24.78,30.95
"784",72,3,331.68,300.05,255.02,287.88,260.42,220.91
"785",72,4,14.25,11.47,10.83,7.78,14.35,14.04
"786",72,5,8.13,5.42,7.75,9.68,4.73,8
"787",72,6,137.18,151.05,98.32,145.58,135.22,101.91
"788",72,7,67.18,53.05,14.5,40.59,43.72,45.21
"789",72,8,118.18,150.35,60.6,122.08,113.42,63.71
"790",72,9,39.68,97.05,41.36,67.08,57.42,34.42
"791",72,10,8.63,11.15,8.97,8.22,8.58,9.63
"792",72,11,106.68,100.55,63.07,84.08,105.92,75.91
"793",73,1,5.64,8.71,9,5.71,9.54,5.94
"794",73,2,26.61,46.05,12.08,39.89,41.43,18.6
"795",73,3,4.86,4.97,7.51,5.49,6.8,4.42
"796",73,4,6.15,5.73,8.13,4.74,5.3,4
"797",73,5,125.48,150.55,86.02,96.08,117.42,127.91
"798",73,6,79.18,76.05,44.99,51.38,67.72,47.91
"799",73,7,5.33,8.39,10.68,6.02,5.26,5.49
"800",73,8,7.77,11.02,12.73,4.91,9.33,6.66
"801",73,9,53.18,62.35,56.17,76.08,204.92,47.91
"802",73,10,44.68,55.85,21.62,43.09,33.76,45.21
"803",73,11,152.18,145.05,132.02,166.38,141.22,107.91
"804",74,1,12.03,8.71,8.4,13.93,13.72,6.01
"805",74,2,7.12,11.02,7.17,4.79,63.42,14.73
"806",74,3,9.34,7.6,9.05,8.81,10.73,8.77
"807",74,4,6.36,6.78,8.27,6.73,7.21,8.11
"808",74,5,8.51,8.39,8.38,5.29,15.21,5.09
"809",74,6,7.88,7.01,9.72,8.03,8.13,6.44
"810",74,7,13.25,13.53,11.15,11.19,9.83,5.28
"811",74,8,5.17,10.17,8.2,4.34,8.4,5.7
"812",74,9,3.82,6.56,7.06,3.79,6.93,6.18
"813",74,10,3.91,8857.05,7.28,4.65,9.83,3.11
"814",74,11,28.27,36.09,10.42,24.31,24.32,17.94
"815",75,1,83.48,73.35,98.02,61.58,197.42,80.91
"816",75,2,292.18,206.55,142.82,239.08,200.42,117.91
"817",75,3,15.09,10.17,9.05,11.08,15.01,10.5
"818",75,4,52.18,48.05,32.73,36.09,62.42,31.74
"819",75,5,6.82,9.59,8.4,4.39,6.93,9.63
"820",75,6,4.06,5.42,8.69,6.82,5.73,4.91
"821",75,7,11.86,9.4,7.81,6.19,5.98,4.7
"822",75,8,7.77,6.78,8.27,5.09,6.27,5.94
"823",75,9,18.18,14.4,21.1,12.51,22.06,7.65
"824",75,10,125.48,123.85,82.02,122.38,104.42,87.91
"825",75,11,110.18,124.35,33.52,78.38,74.42,62.91
"826",76,1,29.25,48.55,13,37.39,34.45,13.18
"827",76,2,101.68,115.35,59.12,75.08,75.42,67.91
"828",76,3,11.74,14.1,7.54,7.44,7.74,7.65
"829",76,4,6.91,818.05,7.06,8.22,5.73,5.09
"830",76,5,12.03,8.55,8.4,10.66,7.96,10.6
"831",76,6,3.74,8.71,8.69,6.54,7.8,12.25
"832",76,7,101.18,119.35,69.04,72.08,97.42,62.41
"833",76,8,94.48,93.05,84.02,106.08,110.72,88.71
"834",76,9,130.68,120.05,88.02,85.88,152.42,111.71
"835",76,10,241.98,256.35,205.02,218.58,247.42,238.21
"836",76,11,588.18,524.35,498.02,490.08,507.42,591.71
"837",77,1,1505.98,1634.35,1325.02,1346.38,1444.22,1258.91
"838",77,2,239.68,267.05,113.32,187.38,209.42,159.41
"839",77,3,135.68,120.35,53.25,105.58,127.72,91.71
"840",77,4,8.13,26.27,12.21,11.46,17.15,26.35
"841",77,5,324.18,355.05,278.02,305.58,320.72,317.21
"842",77,6,468.18,447.55,494.02,343.88,519.42,545.91
"843",77,7,88.18,74.05,61.09,63.08,93.22,88.91
"844",77,8,32.51,22.28,20.59,19.76,82.42,34.92
"845",77,9,55.48,99.05,44.25,44.89,94.72,59.91
"846",77,10,88.48,87.05,121.32,124.08,298.42,140.91
"847",77,11,522.18,534.85,339.82,513.08,511.92,428.91
"848",78,1,748.18,823.05,750.32,623.08,861.92,599.91
"849",78,2,11.46,11.95,10.22,7.68,11.88,16.35
"850",78,3,15.09,11.71,13.81,16.47,12.54,14.87
"851",78,4,54.18,20.38,15.16,73.08,40.73,21.66
"852",78,5,131.18,211.35,89.82,116.08,330.42,94.41
"853",78,6,135.68,96.85,76.83,107.08,155.42,69.91
"854",78,7,84.48,100.55,46.57,81.88,79.72,81.91
"855",78,8,33.5,58.55,12.41,39.39,18.7,8.89
"856",78,9,27.1,17.35,14.82,12.33,10.97,20.32
"857",78,10,37.19,49.35,24.75,27.48,22.95,11.67
"858",78,11,5.64,13.53,10.42,7.34,7.5,6.13
"859",79,1,6.03,7.21,8,4.13,5.21,4.91
"860",79,2,8.51,9.05,8.31,4.57,9.22,5.55
"861",79,3,8.51,7.8,8.13,10.66,7.8,8.3
"862",79,4,22.83,38.07,15.26,8.33,54.42,9.63
"863",79,5,9.04,8.09,7.28,15.71,10.97,6.52
"864",79,6,23.48,43.05,14.18,22.44,13.72,12.87
"865",79,7,20.74,14.1,10.83,17.49,10.87,9.19
"866",79,8,123.18,84.05,60.4,106.38,84.42,69.21
"867",79,9,35.49,25.54,22.71,20.64,35.25,35.22
"868",79,10,4.2,12.45,6.3,5.78,8.13,9.86
"869",79,11,146.48,127.05,98.02,113.08,141.42,95.91
"870",80,1,183.18,223.05,145.02,171.38,182.22,125.41
"871",80,2,36.19,22.03,13.87,27.19,15.91,8.77
"872",80,3,24.42,14.1,12.47,16.08,23.67,8.37
"873",80,4,17.37,22.88,10.62,24.31,13.72,8.37
"874",80,5,196.48,316.05,169.02,235.08,251.42,149.21
"875",80,6,131.98,111.35,91.02,146.38,163.42,120.91
"876",80,7,33.2,12.61,9.16,11.35,17.37,21.39
"877",80,8,644.18,745.85,439.32,546.88,574.42,426.91
"878",80,9,464.98,594.05,486.02,493.58,564.22,461.21
"879",80,10,813.98,710.05,718.02,585.08,779.42,677.21
"880",80,11,199.68,186.05,131.02,150.08,138.92,112.91
"881",81,1,4.41,9.05,7.87,4.96,6.68,6.31
"882",81,2,4.24,7.74,5.82,4.7,5.98,3.76
"883",81,3,23.48,50.55,10.42,25.26,42.43,14.17
"884",81,4,7.12,7.88,7.2,7.03,9.74,7.01
"885",81,5,13.06,35.1,13.28,6.19,12.26,10.6
"886",81,6,79.18,90.05,57.15,67.08,58.42,72.91
"887",81,7,7.77,9.78,7.66,4,7.8,7.65
"888",81,8,136.18,154.85,38.47,105.58,145.72,63.91
"889",81,9,65.18,79.55,52.28,47.08,79.92,64.91
"890",81,10,30.23,35.1,15.09,24.31,27.61,13.7
"891",81,11,917.18,909.05,777.82,852.08,773.42,647.91
"892",82,1,4.64,6.14,7.75,4.96,5.13,4.96
"893",82,2,11.46,9.4,6.46,5.49,25.71,5.49
"894",82,3,4.64,8.33,6.6,6.73,7.5,6.18
"895",82,4,41.68,62.05,11.72,46.09,40.23,31.94
"896",82,5,31.22,33.14,12.34,11.74,38.43,11.96
"897",82,6,3.94,8.09,8,7.03,6.93,3.52
"898",82,7,11.74,14.28,9.49,11.74,9.62,7.42
"899",82,8,86.98,75.35,28.33,81.08,41.93,41.91
"900",82,9,46.18,67.05,26.32,49.58,68.42,38.91
"901",82,10,6.68,4.83,10.42,6.45,5.57,4.74
"902",82,11,11.3,7.74,9,9.36,6.75,6.44
"903",83,1,5.57,5.34,6.66,7.03,9.22,7.01
"904",83,2,8.13,5.19,6.96,5.09,6.2,7.16
"905",83,3,4.89,6.14,8.55,5.83,4.88,7.1
"906",83,4,5.68,6.34,11.26,4.13,5.26,4.14
"907",83,5,4.06,5.42,8.66,6.45,6.8,4.27
"908",83,6,5.8,6.78,7.93,5.29,7.96,4.57
"909",83,7,6.63,8.71,8.13,8.03,8.13,5.7
"910",83,8,7.22,6.3,6.86,8.41,6.93,6.66
"911",83,9,4.06,6.78,6.48,5.35,5.3,4.46
"912",83,10,4.06,11.02,7.15,3.91,5.39,5.38
"913",83,11,3.94,4.83,10.22,4.74,4.32,3.63
"914",84,1,34,31.97,18.7,14.97,24.32,22.11
"915",84,2,69.18,73.85,29.74,45.09,68.42,40.21
"916",84,3,65.18,115.05,98.02,72.08,69.92,74.91
"917",84,4,126.18,168.35,84.02,146.08,148.42,70.91
"918",84,5,17.37,5.95,7.28,13.59,17.15,8.11
"919",84,6,4.69,8.18,9.67,3.7,11.47,5.15
"920",84,7,15.82,11.02,8.69,25.26,9.22,10.1
"921",84,8,9.34,15.98,14.18,10.06,9.54,6.72
"922",84,9,265.18,281.05,159.02,252.08,256.42,108.21
"923",84,10,172.68,211.55,131.02,194.38,164.42,116.91
"924",84,11,340.18,302.05,280.82,334.88,285.42,287.91
"925",85,1,422.68,443.05,328.02,380.08,402.72,320.91
"926",85,2,40.18,98.55,27.51,40.09,61.72,30.95
"927",85,3,20.74,19.83,8.55,19.16,11.99,13.18
"928",85,4,4.64,4.03,7.75,4,5.77,4
"929",85,5,62.68,55.05,28.54,53.88,52.42,54.91
"930",85,6,33.2,43.05,14.82,25.74,27.61,37.91
"931",85,7,487.18,478.85,595.52,446.08,454.72,582.21
"932",85,8,1374.48,1401.35,1022.02,1084.08,1127.42,1052.21
"933",85,9,941.48,1264.85,1035.82,757.08,977.42,1085.91
"934",85,10,480.18,463.05,449.02,426.88,482.42,477.21
"935",85,11,7.12,4.77,6.91,6.27,6.5,5.7
"936",86,1,48.98,44.05,56.17,34.1,106.72,97.91
"937",86,2,308.18,297.35,249.02,262.88,391.42,282.91
"938",86,3,555.18,641.05,441.02,552.08,667.42,438.91
"939",86,4,419.48,608.05,372.52,433.38,494.42,379.41
"940",86,5,77.68,83.05,100.02,94.88,173.42,139.91
"941",86,6,54.18,21.03,13.87,33.1,56.42,44.21
"942",86,7,138.98,110.85,84.02,108.38,161.42,104.91
"943",86,8,129.18,122.05,42.7,100.08,122.42,92.21
"944",86,9,20.74,10.93,9.85,23.65,28.57,11.67
"945",86,10,12.44,5.95,10.22,6.02,4.88,5.94
"946",86,11,7.54,11.71,9.46,12.95,20.34,7.32
"947",87,1,17.77,11.02,7.93,6.14,11.21,5.77
"948",87,2,7.88,6.62,7.62,4.96,4.45,4.14
"949",87,3,7.77,8.39,8.27,4.11,12.71,4.74
"950",87,4,5.8,7.01,6.84,3.74,6.09,4.32
"951",87,5,26.32,20.38,11.26,7.34,14.35,15.6
"952",87,6,126.68,139.05,87.52,106.38,89.42,91.91
"953",87,7,559.18,561.05,457.02,502.58,514.92,504.91
"954",87,8,10.41,13.53,12.47,8.53,19.92,32.93
"955",87,9,184.18,217.05,107.82,167.08,143.42,126.91
"956",87,10,96.98,114.05,48.74,110.08,94.22,58.91
"957",87,11,13.71,23.14,10.78,14.83,26.65,7.65
"958",88,1,31.71,50.05,18.26,18.07,25.71,29.27
"959",88,2,994.18,815.05,683.02,805.08,778.42,638.91
"960",88,3,89.48,140.05,50.84,81.08,96.42,81.91
"961",88,4,13.58,11.02,13,25.26,10.49,5.28
"962",88,5,618.18,754.05,575.82,667.38,767.42,528.91
"963",88,6,16.58,15.33,8.92,6.73,5.77,8.97
"964",88,7,86.18,148.55,66.05,96.88,108.22,88.91
"965",88,8,19.01,56.35,11.96,19.76,25.99,14.17
"966",88,9,5.8,6.45,6.48,5.56,6.93,6.58
"967",88,10,8.91,6.73,12.21,5.29,6.2,6.13
"968",88,11,4.81,19.59,9.54,5.35,5.04,9.63
"969",89,1,4.64,7.01,8.17,3.7,4.14,4.57
"970",89,2,9.34,8.39,9.16,4,6.68,6.72
"971",89,3,7.06,10.71,6.66,8.41,14.55,8
"972",89,4,4.2,6.73,8.31,4.79,5.98,10.25
"973",89,5,8.91,10.29,9.49,8.03,7.02,26.35
"974",89,6,94.18,99.05,49.4,81.08,46.92,66.71
"975",89,7,81.18,101.35,71.54,72.08,75.92,90.91
"976",89,8,4.34,4.9,6.66,5,7.65,3.65
"977",89,9,95.18,98.35,66.05,76.38,100.42,72.91
"978",89,10,103.48,121.05,56.66,96.58,90.42,102.71
"979",89,11,12.15,18.67,6.76,8.41,14.03,26.54
"980",90,1,15.09,10.29,8.4,6.27,10.63,7.48
"981",90,2,39.18,38.87,16.23,41.39,51.42,55.91
"982",90,3,133.18,97.85,81.02,83.08,119.72,68.21
"983",90,4,19.01,42.35,12.47,19.76,17.37,38.91
"984",90,5,10.02,26.46,10.22,7.68,7.74,6.86
"985",90,6,3.94,5.09,8.55,4.42,5.77,4.49
"986",90,7,5.04,6.89,7.28,9.23,5.39,5.28
"987",90,8,8.51,16.65,11.26,8.81,13.12,7.65
"988",90,9,16.58,22.28,14.76,7.34,20.34,11.28
"989",90,10,64.98,54.55,10.42,46.09,29.54,28.98
"990",90,11,8.71,9.97,9.63,15.34,17.15,8.89
"991",91,1,8.13,11.47,8.84,9.23,8.47,4.96
"992",91,2,16.97,9.78,7.68,6.45,7.29,7.93
"993",91,3,8.91,14.7,19.15,12.33,183.42,30.95
"994",91,4,1374.18,1189.05,1363.02,1117.38,1437.42,1433.91
"995",91,5,6.03,12.71,8.55,17.25,13.91,7.65
"996",91,6,9.56,12.98,10.42,18.07,13.6,7.65
"997",91,7,65.98,53.85,16.23,30.13,44.42,30.95
"998",91,8,19.7,36.88,10.42,20.64,40.43,22.75
"999",91,9,239.48,226.55,136.02,246.38,262.22,127.91
"1000",91,10,7.77,10.58,9.16,7.85,12.54,6.39
"1001",91,11,7.44,5.56,8.55,5.29,4.36,7.16
"1002",92,1,9.47,6.97,13,6.59,11.47,6.26
"1003",92,2,16.2,23.75,11.72,13.59,19.51,11.67
"1004",92,3,4.69,5.95,7.1,3.88,6.2,3.76
"1005",92,4,85.18,79.55,62.08,83.08,66.92,93.41
"1006",92,5,7.22,9.51,8.62,7.68,7.29,7.32
"1007",92,6,10.26,15.33,7.78,15.19,15.7,9.63
"1008",92,7,23.76,45.05,15.16,11.74,117.42,24.15
"1009",92,8,33.5,50.05,12.47,21.99,82.92,44.41
"1010",92,9,48.18,37.08,17.41,42.39,36.44,49.91
"1011",92,10,54.18,48.35,36.19,63.08,63.42,55.91
"1012",92,11,82.18,115.05,64.36,85.38,87.92,85.91
"1013",93,1,44.98,36.09,17.13,29.14,35.45,30.95
"1014",93,2,8.24,11.95,11.72,12.51,11.99,9.41
"1015",93,3,46.18,29.75,20.49,43.09,39.73,42.91
"1016",93,4,13.06,11.71,13.87,20.46,6.5,7.82
"1017",93,5,430.48,498.85,319.52,367.38,414.22,336.21
"1018",93,6,401.98,416.05,356.52,402.88,442.42,293.91
"1019",93,7,215.18,164.05,144.02,137.08,161.92,142.71
"1020",93,8,169.48,132.05,84.52,142.08,229.42,79.91
"1021",93,9,244.68,168.05,194.82,168.08,179.72,167.91
"1022",93,10,775.18,723.05,723.52,642.08,675.72,693.91
"1023",93,11,72.18,65.35,29.74,66.08,64.42,57.41
"1024",94,1,18.18,10.93,15.51,23.37,17.91,12.43
"1025",94,2,9.12,10.09,9.32,8.6,10.49,8.77
"1026",94,3,541.18,515.35,529.02,462.58,487.42,552.91
"1027",94,4,181.18,192.05,118.52,162.08,152.42,131.91
"1028",94,5,449.98,326.05,314.02,403.58,358.72,330.91
"1029",94,6,201.18,127.55,133.02,146.08,189.42,118.91
"1030",94,7,11.86,18.07,15.61,27,16.41,16.74
"1031",94,8,19.01,11.47,11.49,17.25,13.72,5.94
"1032",94,9,3.82,5.59,6.96,4.96,5.21,5.49
"1033",94,10,3.94,9.89,7.17,3.65,8.83,5.49
"1034",94,11,48.18,70.05,28.54,46.09,38.93,29.96
"1035",95,1,3.7,4.83,6.96,3.44,4.88,3.68
"1036",95,2,5.91,7.52,8.55,5.49,10.73,7.32
"1037",95,3,28.27,26,18.04,25.26,36.44,28.49
"1038",95,4,19.87,23.75,11.33,14.27,44.72,26.35
"1039",95,5,5.86,8.39,8.55,4.42,11.99,7.65
"1040",95,6,3.76,6.34,8.38,5.71,5.94,5.77
"1041",95,7,5.8,9.4,6.69,6.45,8.13,9.86
"1042",95,8,10.92,15.33,8,15.93,8.47,6.72
"1043",95,9,10.77,14.7,8.77,11.19,11.99,10.1
"1044",95,10,10.77,24.64,13.57,6.19,89.42,12.87
"1045",95,11,11.03,21.2,11.72,12.95,25.52,8.11
"1046",96,1,15.82,30.23,9.49,7.44,12.54,16.74
"1047",96,2,17.37,14.7,10.12,14.97,14.55,6.95
"1048",96,3,16.58,13.42,19.52,8.22,18.54,15.23
"1049",96,4,8.91,9.05,8.55,10.4,20.76,16.35
"1050",96,5,10.92,6.3,6.66,4.7,10.97,5.7
"1051",96,6,3.82,6.41,6.99,5.56,5.3,4.14
"1052",96,7,4.69,4.97,8.13,4.74,8.23,3.44
"1053",96,8,3.82,5.82,6.57,5.71,6.93,4.42
"1054",96,9,4.64,9.51,6.71,5.29,5.57,4.91
"1055",96,10,19.87,21.03,13.66,25.55,16.41,11.39
"1056",96,11,5.43,7.6,8.33,6.19,9.83,6.39
"1057",97,1,61.18,56.05,15.51,45.39,61.72,28.78
"1058",97,2,5.43,9.78,10.22,4.79,5.26,5.09
"1059",97,3,13.06,19.59,8.31,10.66,12.71,7.26
"1060",97,4,54.18,73.05,36.77,56.08,39.73,31.44
"1061",97,5,111.98,84.55,40.21,102.58,82.22,97.91
"1062",97,6,52.18,97.05,25.06,43.09,66.22,61.71
"1063",97,7,29.05,23.75,11.67,37.09,11.62,26.06
"1064",97,8,14.73,10.17,8.62,4.42,10.63,5.09
"1065",97,9,79.98,65.05,23.28,67.08,84.22,41.91
"1066",97,10,52.18,24.64,18.26,45.39,32.28,36.92
"1067",97,11,5.57,40.06,9.76,7.03,10.05,12.25
"1068",98,1,87.18,52.05,14.02,70.38,59.42,25.39
"1069",98,2,501.18,561.55,440.32,406.38,418.42,412.91
"1070",98,3,99.18,142.05,45.92,84.08,104.42,74.21
"1071",98,4,8.51,20.62,8.4,7.51,15.7,7.32
"1072",98,5,27.78,34.12,13.87,35.59,35.94,32.93
"1073",98,6,5.33,9.05,6.34,5.09,26.46,6.06
"1074",98,7,79.48,43.05,44.07,53.08,45.92,41.91
"1075",98,8,93.18,89.85,35.36,67.38,91.72,51.41
"1076",98,9,121.68,93.05,78.83,85.08,109.42,77.71
"1077",98,10,200.18,178.05,153.02,187.08,186.42,158.91
"1078",98,11,100.18,122.05,59.12,123.08,78.42,48.91
"1079",99,1,188.18,173.05,87.02,170.08,151.92,113.91
"1080",99,2,215.18,244.05,165.52,209.08,206.42,122.91
"1081",99,3,73.18,128.05,39.33,83.08,106.42,71.91
"1082",99,4,13.71,33.14,17.21,9.68,158.42,35.92
"1083",99,5,449.68,441.05,262.02,421.58,346.72,228.91
"1084",99,6,650.68,880.05,512.32,521.08,486.22,552.91
"1085",99,7,881.98,997.55,750.32,723.58,696.42,734.21
"1086",99,8,6.03,6.73,7.31,5.95,8.47,4.91
"1087",99,9,6.68,4.83,7.62,5.25,4.73,5.49
"1088",99,10,7.77,6.14,7.51,4.91,4.49,5.49
"1089",99,11,4.61,7.52,7.31,5.49,5.57,28.98
"1090",100,1,73.18,69.35,43.8,74.08,65.42,53.41
"1091",100,2,114.48,105.05,103.02,68.38,105.42,93.41
"1092",100,3,180.18,153.05,120.02,151.08,137.42,117.91
"1093",100,4,13.71,22.03,12.21,10.15,12.54,17.37
"1094",100,5,308.48,353.05,206.82,287.08,306.42,206.91
"1095",100,6,134.68,201.05,65.36,123.88,161.42,105.71
"1096",100,7,3234.48,3410.35,2456.32,2760.38,2990.42,2425.21
"1097",100,8,157.48,248.05,132.52,139.58,197.92,149.91
"1098",100,9,33.2,40.06,17.83,25.55,26.65,27.02
"1099",100,10,7.77,10.5,8.33,8.6,8.47,10.86
"1100",100,11,33.2,35.1,11.15,25.26,34.45,23.5
